word;type;trans;exampl
Koffer;Noun;Suitcase;<<Ich packe meine Sachen in den Koffer für meine Reise.>> (I am packing my things in the suitcase for my trip.)
Kopf;Noun;Head;<<Mein Kopf tut weh, ich habe Kopfschmerzen.>> (My head hurts, I have a headache.)
Korb;Noun;Basket;<<Ich habe einen Korb voller frischer Früchte gekauft.>> (I bought a basket full of fresh fruits.)
Krankenhaus;Noun;Hospital;<<Mein Freund liegt im Krankenhaus wegen einer Operation.>> (My friend is in the hospital due to a surgery.)
Kuchen;Noun;Cake;<<Ich habe einen leckeren Schokoladenkuchen gebacken.>> (I baked a delicious chocolate cake.)
Kugelschreiber;Noun;Ballpoint pen;<<Kannst du mir bitte einen Kugelschreiber leihen?>> (Can you please lend me a ballpoint pen?)
Kuh;Noun;Cow;<<Die Kuh gibt uns frische Milch für unseren Kaffee.>> (The cow provides us with fresh milk for our coffee.)
Kühlschrank;Noun;Refrigerator;<<Ich lege die Milch in den Kühlschrank, um sie frisch zu halten.>> (I put the milk in the refrigerator to keep it fresh.)
Kunst;Noun;Art;<<Ich interessiere mich sehr für moderne Kunst.>> (I am very interested in modern art.)
Kurs;Noun;Course;<<Ich nehme an einem Englischkurs teil, um meine Sprachkenntnisse zu verbessern.>> (I am taking an English course to improve my language skills.)
Lachen;Noun/Verb;Laughter/To laugh;<<Das Lachen meiner Kinder macht mich immer glücklich.>> (The laughter of my children always makes me happy.)
Lampe;Noun;Lamp;<<Ich habe eine neue Lampe für mein Wohnzimmer gekauft.>> (I bought a new lamp for my living room.)
Länder;Noun;Countries;<<Ich habe schon viele Länder bereist.>> (I have traveled to many countries.)
Landwirtschaft;Noun;Agriculture;<<Die Landwirtschaft ist ein wichtiger Wirtschaftszweig in vielen Ländern.>> (Agriculture is an important industry in many countries.)
Laptop;Noun;Laptop;<<Ich benutze meinen Laptop für meine Arbeit und zum Surfen im Internet.>> (I use my laptop for work and browsing the internet.)
Laterne;Noun;Lantern;<<Die Laterne spendet Licht in der dunklen Nacht.>> (The lantern provides light in the dark night.)
Leben;Noun/Verb;Life/To live;<<Das Leben ist kurz, also sollten wir es genießen.>> (Life is short, so we should enjoy it.)
Lehrer;Noun;Teacher;<<Mein Vater ist ein Lehrer an einer Grundschule.>> (My father is a teacher at an elementary school.)
Leidenschaft;Noun;Passion;<<Meine Leidenschaft ist das Reisen und Entdecken neuer Kulturen.>> (My passion is traveling and exploring new cultures.)
Leiter;Noun;Ladder;<<Ich benutze eine Leiter, um auf das Dach meines Hauses zu steigen.>> (I use a ladder to climb onto the roof of my house.)
Leuchter;Noun;Flashlight;<<Ich nehme immer eine Taschenlampe mit, wenn ich nachts wandern gehe.>> (I always take a flashlight with me when I go hiking at night.)
Leute;Noun;People;<<Es waren viele Leute auf der Party.>> (There were a lot of people at the party.)
Liebe;Noun;Love;<<Die Liebe zwischen Geschwistern ist etwas Besonderes.>> (The love between siblings is something special.)
Lied;Noun;Song;<<Ich höre gerne deutsche Lieder, um meine Sprachkenntnisse zu verbessern.>> (I like listening to German songs to improve my language skills.)
Lift;Noun;Elevator;<<Wir benutzen den Lift, um in die oberen Stockwerke des Gebäudes zu gelangen.>> (We use the elevator to reach the upper floors of the building.)
Lippenstift;Noun;Lipstick;<<Sie trug einen roten Lippenstift, der gut zu ihrem Kleid passte.>> (She wore red lipstick that matched her dress.)
Löffel;Noun;Spoon;<<Kannst du mir bitte einen Löffel geben, um die Suppe zu essen?>> (Can you please give me a spoon to eat the soup?)
Löwe;Noun;Lion;<<Der Löwe ist der König der Tiere.>> (The lion is the king of animals.)
Mädchen;Noun;Girl;<<Das Mädchen spielt fröhlich im Park.>> (The girl is playing happily in the park.)
Mahlzeit;Noun;Mealtime;<<Es ist Zeit für die Mahlzeit, lass uns essen!>> (It's mealtime, let's eat!)
Maler;Noun;Painter;<<Der Maler hat ein wunderschönes Gemälde erschaffen.>> (The painter created a beautiful painting.)
Mama;Noun;Mom;<<Meine Mama ist die beste Mutter der Welt.>> (My mom is the best mother in the world.)
Mann;Noun;Man;<<Der Mann hilft der alten Dame, die Straße zu überqueren.>> (The man is helping the old lady cross the street.)
Maschine;Noun;Machine;<<Die Maschine ist kaputt und muss repariert werden.>> (The machine is broken and needs to be repaired.)
Meer;Noun;Sea;<<Der Strand liegt am Meer und bietet einen wunderschönen Blick auf den Sonnenuntergang.>> (The beach is by the sea and offers a beautiful view of the sunset.)
Meinung;Noun;Opinion;<<Jeder hat das Recht auf seine eigene Meinung.>> (Everyone has the right to their own opinion.)
Melodie;Noun;Melody;<<Die Melodie des Liedes ist sehr eingängig.>> (The melody of the song is very catchy.)
Mensch;Noun;Human;<<Der Mensch ist ein soziales Wesen.>> (Human beings are social creatures.)
Messer;Noun;Knife;<<Pass auf, das Messer ist scharf.>> (Be careful, the knife is sharp.)
Miete;Noun;Rent;<<Ich zahle meine Miete jeden Monat pünktlich.>> (I pay my rent on time every month.)
Milch;Noun;Milk;<<Kannst du bitte eine Tasse Milch für mich einschenken?>> (Can you please pour me a cup of milk?)
Minute;Noun;Minute;<<Ich warte schon seit einer Minute auf dich.>> (I've been waiting for you for a minute already.)
Missverständnis;Noun;Misunderstanding;<<Es gab ein Missverständnis in der Kommunikation.>> (There was a misunderstanding in the communication.)
Mitte;Noun;Middle;<<Die Mitte des Kreises ist der Mittelpunkt.>> (The middle of the circle is the center.)
Mittwoch;Noun;Wednesday;<<Wir treffen uns am Mittwochabend zum Abendessen.>> (We're meeting on Wednesday evening for dinner.)
Mode;Noun;Fashion;<<Sie interessiert sich sehr für Mode und hat immer die neuesten Trends im Blick.>> (She is very interested in fashion and always keeps an eye on the latest trends.)
Mond;Noun;Moon;<<Der Mond leuchtet in der Nacht am Himmel.>> (The moon shines in the night sky.)
Morgen;Noun;Morning;<<Guten Morgen! Wie hast du geschlafen?>> (Good morning! How did you sleep?)
Motorrad;Noun;Motorcycle;<<Er fährt gerne mit seinem Motorrad durch die Berge.>> (He enjoys riding his motorcycle through the mountains.)
Mund;Noun;Mouth;<<Sie hat ein breites Lächeln auf ihrem Mund.>> (She has a wide smile on her mouth.)
Musik;Noun;Music;<<Musik kann die Stimmung beeinflussen und Emotionen auslösen.>> (Music can influence mood and evoke emotions.)
Nacht;Noun;Night;<<Die Sterne leuchten am Himmel in der dunklen Nacht.>> (The stars shine in the dark night sky.)
Nagel;Noun;Nail;<<Sie hat sich den Nagel beim Heimwerken abgebrochen.>> (She broke her nail while doing DIY.)
Nase;Noun;Nose;<<Sie hat eine kleine Stupsnase.>> (She has a small button-like nose.)
Natur;Noun;Nature;<<Ich liebe es, in der Natur spazieren zu gehen und die frische Luft zu genießen.>> (I love going for walks in nature and enjoying the fresh air.)
Nebel;Noun;Fog;<<Der Nebel hüllt die Landschaft in einen geheimnisvollen Schleier.>> (The fog envelops the landscape in a mysterious veil.)
Nerv;Noun;Nerve;<<Er hat starke Nerven, um mit schwierigen Situationen umzugehen.>> (He has strong nerves to deal with difficult situations.)
Netz;Noun;Net;<<Das Internet ist ein globales Netzwerk von Computern.>> (The internet is a global network of computers.)
Neugier;Noun;Curiosity;<<Kinder haben oft eine natürliche Neugier, die ihnen hilft, die Welt zu entdecken.>> (Children often have a natural curiosity that helps them explore the world.)
Notiz;Noun;Note;<<Ich habe eine Notiz gemacht, um mich an meine Aufgaben zu erinnern.>> (I made a note to remind myself of my tasks.)
Obst;Noun;Fruit;<<Eine ausgewogene Ernährung sollte Obst und Gemüse enthalten.>> (A balanced diet should include fruits and vegetables.)
Ohr;Noun;Ear;<<Sie flüsterte ihm ins Ohr.>> (She whispered to his ear.)
Oktober;Noun;October;<<Der Oktober ist der zehnte Monat des Jahres.>> (October is the tenth month of the year.)
Ort;Noun;Place;<<Wir haben uns an einem abgelegenen Ort getroffen.>> (We met at a remote place.)
Paket;Noun;Package;<<Das Paket wurde gestern geliefert.>> (The package was delivered yesterday.)
Papier;Noun;Paper;<<Kannst du mir bitte ein Stück Papier geben?>> (Can you please give me a piece of paper?)
Park;Noun;Park;<<Wir haben einen Spaziergang im Park gemacht.>> (We took a walk in the park.)
Pasta;Noun;Pasta;<<Spaghetti Bolognese ist eine beliebte Pasta-Gericht.>> (Spaghetti Bolognese is a popular pasta dish.)
Pause;Noun;Break;<<Ich mache eine kurze Pause, um Kaffee zu trinken.>> (I'm taking a short break to have some coffee.)
Pferd;Noun;Horse;<<Sie reitet gerne auf ihrem Pferd im Wald.>> (She enjoys riding her horse in the forest.)
Pflanze;Noun;Plant;<<Die Blumen sind wunderschöne Pflanzen.>> (The flowers are beautiful plants.)
Pfund;Noun;Pound;<<Das Paket wiegt drei Pfund.>> (The package weighs three pounds.)
Pilz;Noun;Mushroom;<<Wir haben Pilze im Wald gesammelt.>> (We collected mushrooms in the forest.)
Plan;Noun;Plan;<<Er hat einen detaillierten Plan für das Projekt erstellt.>> (He created a detailed plan for the project.)
Platz;Noun;Place;<<Kannst du bitte einen Platz für mich reservieren?>> (Can you please reserve a place for me?)
Post;Noun;Mail;<<Ich habe eine Karte von meiner Freundin per Post erhalten.>> (I received a card from my friend by mail.)
Problem;Noun;Problem;<<Es gab ein Problem mit dem Computer.>> (There was a problem with the computer.)
Punkt;Noun;Point;<<Er hat alle Punkte in dem Test erreicht.>> (He scored all the points in the test.)
Qualität;Noun;Quality;<<Die Qualität dieses Produkts ist ausgezeichnet.>> (The quality of this product is excellent.)
Radtour;Noun;Bike tour;<<Wir planen eine Radtour am Wochenende.>> (We are planning a bike tour on the weekend.)
Regen;Noun;Rain;<<Es regnet heute den ganzen Tag.>> (It's raining all day today.)
Reise;Noun;Trip;<<Wir planen eine Reise nach Frankreich.>> (We are planning a trip to France.)
Rezept;Noun;Recipe;<<Ich habe ein neues Rezept für einen Kuchen ausprobiert.>> (I tried a new recipe for a cake.)
Rezept;Noun;Prescription;<<Der Arzt hat ihm ein Rezept für Medikamente ausgestellt.>> (The doctor issued him a prescription for medication.)
Richtung;Noun;Direction;<<Kannst du mir bitte die Richtung zum Bahnhof sagen?>> (Can you please tell me the direction to the train station?)
Rind;Noun;Beef;<<Wir haben Rindfleisch für das Abendessen gekauft.>> (We bought beef for dinner.)
Rosen;Noun;Roses;<<Sie hat einen Strauß roter Rosen bekommen.>> (She received a bouquet of red roses.)
Salat;Noun;Salad;<<Ich esse gerne frischen Salat zum Abendessen.>> (I like to have fresh salad for dinner.)
Schatten;Noun;Shadow;<<Der Baum wirft einen großen Schatten auf den Boden.>> (The tree casts a large shadow on the ground.)
Schlüssel;Noun;Key;<<Hast du meinen Schlüssel gesehen?>> (Have you seen my key?)
Schnee;Noun;Snow;<<Im Winter gibt es oft viel Schnee.>> (There is often a lot of snow in winter.)
Schnellzug;Noun;Express train;<<Der Schnellzug fährt direkt von Berlin nach München.>> (The express train goes directly from Berlin to Munich.)
Schuh;Noun;Shoe;<<Ich habe mir neue Schuhe gekauft.>> (I bought new shoes.)
Schule;Noun;School;<<Die Schule beginnt um 8 Uhr morgens.>> (School starts at 8 a.m.)
Schüssel;Noun;Bowl;<<Bitte reiche mir die große Schüssel.>> (Please pass me the big bowl.)
Schwester;Noun;Sister;<<Meine Schwester ist jünger als ich.>> (My sister is younger than me.)
See;Noun;Lake;<<Wir machen einen Ausflug zum Bodensee.>> (We are going on a trip to Lake Constance.)
Seife;Noun;Soap;<<Kannst du bitte die Seife geben? Ich muss meine Hände waschen.>> (Can you please pass the soap? I need to wash my hands.)
Sommer;Noun;Summer;<<Ich liebe den Sommer, besonders wegen des warmen Wetters.>> (I love summer, especially because of the warm weather.)
Sonne;Noun;Sun;<<Die Sonne scheint heute sehr hell.>> (The sun is shining very brightly today.)
Spiel;Noun;Game;<<Wir spielen oft Brettspiele am Wochenende.>> (We often play board games on weekends.)
Sport;Noun;Sport;<<Er treibt gerne Sport, besonders Basketball.>> (He likes to do sports, especially basketball.)
Sprache;Noun;Language;<<Deutsch ist seine Muttersprache.>> (German is his native language.)
Stadt;Noun;City;<<Berlin ist die Hauptstadt von Deutschland.>> (Berlin is the capital city of Germany.)
Stamm;Noun;Trunk;<<Der Baumstamm ist sehr dick.>> (The trunk of the tree is very thick.)
Strom;Noun;Electricity;<<Der Strom ist heute ausgefallen.>> (The electricity is out today.)
Stuhl;Noun;Chair;<<Setz dich bitte auf den Stuhl.>> (Please sit on the chair.)
Supermarkt;Noun;Supermarket;<<Wir müssen noch in den Supermarkt gehen, um Lebensmittel zu kaufen.>> (We still need to go to the supermarket to buy groceries.)
Tafel;Noun;Chalkboard;<<Der Lehrer schreibt Informationen auf die Tafel.>> (The teacher writes information on the chalkboard.)
Tag;Noun;Day;<<Heute ist ein schöner Tag mit viel Sonnenschein.>> (Today is a beautiful day with lots of sunshine.)
Tasche;Noun;Bag;<<Kannst du bitte meine Tasche halten, während ich meinen Schlüssel suche?>> (Can you please hold my bag while I search for my key?)
Telefon;Noun;Telephone;<<Ich muss einen wichtigen Anruf tätigen, wo ist mein Telefon?>> (I need to make an important call, where is my telephone?)
Teller;Noun;Plate;<<Stell bitte die Teller auf den Tisch, wir können zu Abend essen.>> (Please set the plates on the table, we can have dinner.)
Text;Noun;Text;<<Kannst du mir helfen, diesen Text auf Deutsch zu übersetzen?>> (Can you help me translate this text to German?)
Tisch;Noun;Table;<<Wir sitzen am Tisch und essen gemeinsam.>> (We sit at the table and eat together.)
Tomate;Noun;Tomato;<<Ich liebe frische Tomaten in meinem Salat.>> (I love fresh tomatoes in my salad.)
Tor;Noun;Gate;<<Das Tor zum Park ist geschlossen.>> (The gate to the park is closed.)
Treppe;Noun;Stairs;<<Die Treppe ist steil, sei vorsichtig.>> (The stairs are steep, be careful.)
Trockner;Noun;Dryer;<<Ich lege meine Wäsche in den Trockner, um sie zu trocknen.>> (I put my clothes in the dryer to dry them.)
Tuch;Noun;Cloth;<<Kannst du bitte das Tuch verwenden, um den Tisch abzuwischen?>> (Can you please use the cloth to wipe the table?)
Uhr;Noun;Clock;<<Die Uhr zeigt 10 Uhr an.>> (The clock shows 10 o'clock.)
Urlaub;Noun;Vacation;<<Wir planen unseren nächsten Urlaub in Italien.>> (We are planning our next vacation in Italy.)
Vase;Noun;Vase;<<Die Blumen stehen in einer schönen Vase auf dem Tisch.>> (The flowers are in a beautiful vase on the table.)
Vogel;Noun;Bird;<<Die Vögel singen fröhlich am Morgen.>> (The birds are singing happily in the morning.)
Vorhang;Noun;Curtain;<<Kannst du bitte den Vorhang schließen, es ist zu hell.>> (Can you please close the curtain, it's too bright.)
Wagen;Noun;Car;<<Ich habe einen neuen Wagen gekauft.>> (I bought a new car.)
Wald;Noun;Forest;<<Wir machen einen Spaziergang im Wald.>> (We are taking a walk in the forest.)
Wand;Noun;Wall;<<Wir haben die Wand blau gestrichen.>> (We painted the wall blue.)
Wasser;Noun;Water;<<Ich trinke gerne kaltes Wasser.>> (I like to drink cold water.)
Welle;Noun;Wave;<<Die Kinder spielen am Strand und springen über die Wellen.>> (The children are playing at the beach, jumping over the waves.)
Wetter;Noun;Weather;<<Das Wetter ist heute sonnig und warm.>> (The weather is sunny and warm today.)
Wind;Noun;Wind;<<Es weht ein starker Wind draußen.>> (There is a strong wind blowing outside.)
Wolke;Noun;Cloud;<<Die Wolken ziehen langsam über den Himmel.>> (The clouds are moving slowly across the sky.)
Wohnung;Noun;Apartment;<<Ich habe eine neue Wohnung in der Stadt gemietet.>> (I rented a new apartment in the city.)
Wort;Noun;Word;<<Kannst du mir bitte die Bedeutung dieses deutschen Worts erklären?>> (Can you please explain the meaning of this German word to me?)
Wunsch;Noun;Wish;<<Mein größter Wunsch ist es, um die Welt zu reisen.>> (My biggest wish is to travel around the world.)
Zeit;Noun;Time;<<Wir haben genug Zeit, um den Zug zu erreichen.>> (We have enough time to catch the train.)
Zettel;Noun;Note;<<Kannst du bitte einen Zettel hinterlassen, um mich zu informieren?>> (Can you please leave a note to inform me?)
Zimmer;Noun;Room;<<Das Hotelzimmer ist geräumig und komfortabel.>> (The hotel room is spacious and comfortable.)
Zitrone;Noun;Lemon;<<Ich brauche eine Zitrone, um meinen Tee zu würzen.>> (I need a lemon to zest my tea.)
Zug;Noun;Train;<<Ich nehme den Zug, um zur Arbeit zu fahren.>> (I take the train to go to work.)
Zunge;Noun;Tongue;<<Die Zunge ist ein wichtiger Teil unseres Geschmackssinns.>> (The tongue is an important part of our sense of taste.)
Zwillinge;Noun;Twins;<<Meine Geschwister sind Zwillinge, sie sind im selben Jahr geboren.>> (My siblings are twins, they were born in the same year.)
Abend;Noun;Evening;<<Wir treffen uns am Abend zum Abendessen.>> (We are meeting in the evening for dinner.)
Adresse;Noun;Address;<<Kannst du mir bitte deine Adresse geben, damit ich dich besuchen kann?>> (Can you please give me your address so I can visit you?)
Alter;Noun;Age;<<Wie alt bist du?>> (How old are you?)
Angst;Noun;Fear;<<Er hat große Angst vor Spinnen.>> (He has a great fear of spiders.)
Ankunft;Noun;Arrival;<<Die Ankunft des Flugzeugs wurde um eine Stunde verschoben.>> (The arrival of the plane was delayed by one hour.)
Anruf;Noun;Call;<<Ich erwarte einen wichtigen Anruf von meinem Chef.>> (I am expecting an important call from my boss.)
Anzug;Noun;Suit;<<Er trägt immer einen Anzug zur Arbeit.>> (He always wears a suit to work.)
Apfel;Noun;Apple;<<Ein Apfel am Tag hält den Arzt fern.>> (An apple a day keeps the doctor away.)
Arbeit;Noun;Work;<<Ich gehe zur Arbeit von Montag bis Freitag.>> (I go to work from Monday to Friday.)
Arzt;Noun;Doctor;<<Ich muss zum Arzt gehen, um meine Gesundheit zu überprüfen.>> (I need to go to the doctor to check my health.)
Asche;Noun;Ash;<<Nach dem Feuer blieb nur Asche übrig.>> (After the fire, only ash remained.)
Atem;Noun;Breath;<<Tiefe Atemzüge können helfen, Stress abzubauen.>>
Apfel;Noun;Apple;<<Ein Apfel am Tag hält den Arzt fern.>> (An apple a day keeps the doctor away.)
Arbeit;Noun;Work;<<Ich gehe zur Arbeit von Montag bis Freitag.>> (I go to work from Monday to Friday.)
Arzt;Noun;Doctor;<<Ich muss zum Arzt gehen, um meine Gesundheit zu überprüfen.>> (I need to go to the doctor to check my health.)
Asche;Noun;Ash;<<Nach dem Feuer blieb nur Asche übrig.>> (After the fire, only ash remained.)
Atem;Noun;Breath;<<Tiefe Atemzüge können helfen, Stress abzubauen.>> (Deep breaths can help reduce stress.)
Auto;Noun;Car;<<Mein neues Auto hat einen Benzinmotor.>> (My new car has a gasoline engine.)
Bahn;Noun;Train;<<Der Zug fährt um 9 Uhr ab.>> (The train departs at 9 o'clock.) 
Bank;Noun;Bank;<<Ich gehe zur Bank, um Geld abzuheben.>> (I go to the bank to withdraw money.)
Bau;Noun;Construction;<<Der Bau des neuen Gebäudes hat begonnen.>> (The construction of the new building has started.)
Baum;Noun;Tree;<<Der Baum wirft im Herbst seine Blätter ab.>> (The tree sheds its leaves in autumn.)
Berg;Noun;Mountain;<<Im Winter gehe ich gerne Skifahren in den Bergen.>> (I enjoy skiing in the mountains in winter.)
Bett;Noun;Bed;<<Nach einem langen Tag freue ich mich auf mein gemütliches Bett.>> (After a long day, I look forward to my cozy bed.)
Bein;Noun;Leg;<<Ich habe mir das Bein beim Sport verletzt.>> (I injured my leg while playing sports.)
Bild;Noun;Picture;<<Das Bild an der Wand ist sehr schön.>> (The picture on the wall is very beautiful.)
Blume;Noun;Flower;<<Mein Lieblingsblume ist die Rose.>> (My favorite flower is the rose.)
Boot;Noun;Boat;<<Im Sommer fahre ich gerne mit dem Boot auf dem See.>> (I enjoy boating on the lake in summer.)
Buch;Noun;Book;<<Ich lese gerne Bücher in meiner Freizeit.>> (I enjoy reading books in my free time.)
Bus;Noun;Bus;<<Ich nehme immer den Bus zur Arbeit.>> (I always take the bus to work.)
Butter;Noun;Butter;<<Ich esse gerne Butter auf meinem Brot.>> (I like to eat butter on my bread.)
Dach;Noun;Roof;<<Das Dach des Hauses ist mit Ziegeln gedeckt.>> (The roof of the house is covered with tiles.)
Dank;Noun;Thanks;<<Vielen Dank für Ihre Hilfe.>> (Thank you very much for your help.)
Dorf;Noun;Village;<<Das kleine Dorf liegt malerisch im Tal.>> (The small village is situated picturesquely in the valley.)
